,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.5922746857990429,0.024685914722310843,0.3287100788822319,0.14092826404094555,0.02374006161475929,-0.04476991660305189,0.06761532968273382,0.05207683034605875,0.039984868961553496,0.23061929204495282,0.17114293241690062,0.0811907497712259,0.09022388679712016,0.16102813832403357,0.12734316324898196,0.39821684490691756,0.21129168164219891,0.05427094622333264,0.0665980547056083,0.23931301062566343,0.019261536917294857,0.6221818676563695,0.19539712925884853,0.08622031677538987,0.14832461868041696,0.18695930108588396,0.08160218832329438
Belo Horizonte,0.0331256137581584,0.6393095989992272,0.21537955976913548,-0.08791618783825818,0.5639219605663052,0.6171124226353227,0.10027442434299534,0.6702716014350161,0.6322467863212432,-0.023089747339167074,0.658470989989919,0.13356480179975927,0.11113966981039579,0.033769036949717446,0.10884022997197144,0.25548356026898056,0.42952920998062544,0.6524578320338333,0.24434742750476435,0.38055981827001845,0.21203489038575835,0.12114597602806812,0.02684217389943126,0.21514677470061538,0.10547545517963952,0.04887002585903766,0.5317238380580002
Belém,0.04004682225770958,0.0006075463290391695,0.709448481201096,0.16039190752033758,0.03876938646708845,0.45752041194994,0.10168080317427111,0.053146365658573086,0.024184648741983453,-0.021563175923793036,0.1542971754037555,-0.08045280064866953,0.46775329617023587,0.07984158536174266,0.2496215372741529,0.025588571872612372,0.3837179364988503,-0.0009705212701716388,0.1737330855549229,0.2412734066773882,0.4525554275025195,0.13419644602820402,0.14964493591947328,0.06676421198439021,0.06783784908967719,0.0519415273436819,0.039479343597163215
Boa Vista,0.2247162978011326,0.050423329163101785,0.27037175254956053,0.7222154861784056,0.0769311911294655,-0.03750614184705896,0.051489637349150054,-0.10661958851513675,-0.1370881743621818,0.14565781337028044,-0.023425254689925314,-0.07982835969058807,0.21144204650576665,0.576049374111901,-0.003181843487940124,0.10206096452426275,0.016037259520665627,-0.0963204702049154,0.005792500048722516,0.13691569911019086,0.23246602482008355,0.1626976616386074,0.36110842146254407,0.009216078946631776,-0.01800344317242132,0.06585515269542767,0.02787556485312288
Brasília,0.0005971461480947379,0.5550649119239972,0.13194082771958665,-0.15048305969019923,0.7418470493063587,0.5105450034648056,0.10121981134624398,0.5028145812028637,0.577684974126411,-0.0010437639307144812,0.6534088814512056,0.16151988871957032,0.040654432405646576,0.0023749645142868434,0.1117384521203805,0.14544546670004566,0.5638169047355963,0.5029247440153413,0.34288636630432223,0.36233341630442717,0.2881195666528741,0.061509559658159234,0.10508516878410687,0.1420162329140313,0.4460714572192191,0.13228208933337093,0.38138443099660513
Campo Grande,-0.05496275369992224,0.0626138048115439,0.1122758249451919,-0.11093886877379516,0.08216275959253862,0.616479020922484,0.09488098598794617,0.13181993610375703,0.15555532725507765,-0.1387777250187552,0.2615418655833991,-0.1290630592783623,0.10644007141981897,-0.10660720081896066,0.00347142837358331,-0.08881565740020504,0.24092302570971194,0.048227180576938915,0.3947602553756105,0.10713599088853713,0.17957688395505403,-0.05414151661406351,-0.13426407253834777,-0.04326793799190296,-0.009406683124478933,-0.12380933308183494,0.16289133564878114
Cuiabá,0.06599826030987649,0.03752983915778269,0.3108047471294681,0.12622560129484447,-0.04073054289670561,0.08228586027987098,0.5457612701108685,-0.00787027444715565,-0.03430159460541,0.047201790790408954,0.16014997512500925,-0.07749429228267862,0.1634891950128039,0.05630531229380302,9.865490793705485e-05,-0.002701989803027401,0.13920169476485733,-0.0007148666821010872,0.1742070414871718,0.13223907224008913,0.26471362291876954,0.18737583017720266,0.44253759587456326,-0.0991731064528964,0.006230867471900857,0.12476289519583662,0.24607899944695794
Curitiba,0.03856341455712536,0.4341378574519899,0.16845108226347888,-0.1593561167433302,0.37680503617979416,0.4092804103619409,0.02060180648209383,0.77316789605583,0.7397846948497363,-5.675260362331081e-05,0.42882956575910175,0.13071999164283177,0.044817009118639006,-0.047427228922322116,0.06596819176459656,0.30383600648366915,0.3087705732237497,0.5168600048948724,0.1376356547279034,0.5271025143660348,0.05458274927890774,0.007790962960552174,-0.015836766346113904,0.2656300266794213,0.06694942860566125,0.017479439000295537,0.1537303125931034
Florianópolis,-0.0017084512785034962,0.3981888439079471,0.07043883080765247,-0.19526255195818462,0.389026785269653,0.3605015390810223,-0.01206236843335015,0.6752866956551248,0.7607062303495797,-0.01402879810942738,0.3941395552276257,0.13690725231487574,0.00541550016372505,-0.10365028042216415,0.014719791404084696,0.23715764893413102,0.4238981903869115,0.45430662466924004,0.10213946446749073,0.4501370589198411,0.022993684287558148,-0.032895236555849756,-0.06594439964002034,0.2132581713072994,0.1172444293679219,0.008637676029547988,0.11157468035635007
Fortaleza,0.4156764784142835,0.22493251377395707,0.36555600000097666,0.022288170527002226,0.24073421324266842,0.02428202468470065,0.24001405335010342,0.3079511383619173,0.2674897104018587,0.5527044163814008,0.3584810719530837,0.5155833514474745,0.2692625788557953,0.27571972710621584,0.37428833309443404,0.4834258838079795,0.354943894931361,0.3385138545364849,0.04770270133088356,0.4209459918884951,0.12994663512404517,0.6171406257150864,0.2525084440402789,0.3560960361460886,0.2484035526634639,0.5644699712056189,0.12388339665085674
