dt_sintoma,co_municipio,municipio,ocorrencias
1941-05-11,1100205,Porto Velho,1
1941-05-18,1100205,Porto Velho,0
1941-05-25,1100205,Porto Velho,0
1941-06-01,1100205,Porto Velho,0
1941-06-08,1100205,Porto Velho,0
1941-06-15,1100205,Porto Velho,0
1941-06-22,1100205,Porto Velho,0
1941-06-29,1100205,Porto Velho,0
1941-07-06,1100205,Porto Velho,0
1941-07-13,1100205,Porto Velho,0
1941-07-20,1100205,Porto Velho,0
1941-07-27,1100205,Porto Velho,0
1941-08-03,1100205,Porto Velho,0
1941-08-10,1100205,Porto Velho,0
1941-08-17,1100205,Porto Velho,0
1941-08-24,1100205,Porto Velho,0
1941-08-31,1100205,Porto Velho,0
1941-09-07,1100205,Porto Velho,0
1941-09-14,1100205,Porto Velho,0
1941-09-21,1100205,Porto Velho,0
1941-09-28,1100205,Porto Velho,0
1941-10-05,1100205,Porto Velho,0
1941-10-12,1100205,Porto Velho,0
1941-10-19,1100205,Porto Velho,0
1941-10-26,1100205,Porto Velho,0
1941-11-02,1100205,Porto Velho,0
1941-11-09,1100205,Porto Velho,0
1941-11-16,1100205,Porto Velho,0
1941-11-23,1100205,Porto Velho,0
1941-11-30,1100205,Porto Velho,0
1941-12-07,1100205,Porto Velho,0
1941-12-14,1100205,Porto Velho,0
1941-12-21,1100205,Porto Velho,0
1941-12-28,1100205,Porto Velho,0
1942-01-04,1100205,Porto Velho,0
1942-01-11,1100205,Porto Velho,0
1942-01-18,1100205,Porto Velho,0
1942-01-25,1100205,Porto Velho,0
1942-02-01,1100205,Porto Velho,0
1942-02-08,1100205,Porto Velho,0
1942-02-15,1100205,Porto Velho,0
1942-02-22,1100205,Porto Velho,0
1942-03-01,1100205,Porto Velho,0
1942-03-08,1100205,Porto Velho,0
1942-03-15,1100205,Porto Velho,0
1942-03-22,1100205,Porto Velho,0
1942-03-29,1100205,Porto Velho,0
1942-04-05,1100205,Porto Velho,0
1942-04-12,1100205,Porto Velho,0
1942-04-19,1100205,Porto Velho,0
1942-04-26,1100205,Porto Velho,0
1942-05-03,1100205,Porto Velho,0
1942-05-10,1100205,Porto Velho,0
1942-05-17,1100205,Porto Velho,0
1942-05-24,1100205,Porto Velho,0
1942-05-31,1100205,Porto Velho,0
1942-06-07,1100205,Porto Velho,0
1942-06-14,1100205,Porto Velho,0
1942-06-21,1100205,Porto Velho,0
1942-06-28,1100205,Porto Velho,0
1942-07-05,1100205,Porto Velho,0
1942-07-12,1100205,Porto Velho,0
1942-07-19,1100205,Porto Velho,0
1942-07-26,1100205,Porto Velho,0
1942-08-02,1100205,Porto Velho,0
1942-08-09,1100205,Porto Velho,0
1942-08-16,1100205,Porto Velho,0
1942-08-23,1100205,Porto Velho,0
1942-08-30,1100205,Porto Velho,0
1942-09-06,1100205,Porto Velho,0
1942-09-13,1100205,Porto Velho,0
1942-09-20,1100205,Porto Velho,0
1942-09-27,1100205,Porto Velho,0
1942-10-04,1100205,Porto Velho,0
1942-10-11,1100205,Porto Velho,0
1942-10-18,1100205,Porto Velho,0
1942-10-25,1100205,Porto Velho,0
1942-11-01,1100205,Porto Velho,0
1942-11-08,1100205,Porto Velho,0
1942-11-15,1100205,Porto Velho,0
1942-11-22,1100205,Porto Velho,0
1942-11-29,1100205,Porto Velho,0
1942-12-06,1100205,Porto Velho,0
1942-12-13,1100205,Porto Velho,0
1942-12-20,1100205,Porto Velho,0
1942-12-27,1100205,Porto Velho,0
1943-01-03,1100205,Porto Velho,0
1943-01-10,1100205,Porto Velho,0
1943-01-17,1100205,Porto Velho,0
1943-01-24,1100205,Porto Velho,0
1943-01-31,1100205,Porto Velho,0
1943-02-07,1100205,Porto Velho,0
1943-02-14,1100205,Porto Velho,0
1943-02-21,1100205,Porto Velho,0
1943-02-28,1100205,Porto Velho,0
1943-03-07,1100205,Porto Velho,0
1943-03-14,1100205,Porto Velho,0
1943-03-21,1100205,Porto Velho,0
1943-03-28,1100205,Porto Velho,0
1943-04-04,1100205,Porto Velho,0
1943-04-11,1100205,Porto Velho,0
1943-04-18,1100205,Porto Velho,0
1943-04-25,1100205,Porto Velho,0
1943-05-02,1100205,Porto Velho,0
1943-05-09,1100205,Porto Velho,0
1943-05-16,1100205,Porto Velho,0
1943-05-23,1100205,Porto Velho,0
1943-05-30,1100205,Porto Velho,0
1943-06-06,1100205,Porto Velho,0
1943-06-13,1100205,Porto Velho,0
1943-06-20,1100205,Porto Velho,0
1943-06-27,1100205,Porto Velho,0
1943-07-04,1100205,Porto Velho,0
1943-07-11,1100205,Porto Velho,0
1943-07-18,1100205,Porto Velho,0
1943-07-25,1100205,Porto Velho,0
1943-08-01,1100205,Porto Velho,0
1943-08-08,1100205,Porto Velho,0
1943-08-15,1100205,Porto Velho,0
1943-08-22,1100205,Porto Velho,0
1943-08-29,1100205,Porto Velho,0
1943-09-05,1100205,Porto Velho,0
1943-09-12,1100205,Porto Velho,0
1943-09-19,1100205,Porto Velho,0
1943-09-26,1100205,Porto Velho,0
1943-10-03,1100205,Porto Velho,0
1943-10-10,1100205,Porto Velho,0
1943-10-17,1100205,Porto Velho,0
1943-10-24,1100205,Porto Velho,0
1943-10-31,1100205,Porto Velho,0
1943-11-07,1100205,Porto Velho,0
1943-11-14,1100205,Porto Velho,0
1943-11-21,1100205,Porto Velho,0
1943-11-28,1100205,Porto Velho,0
1943-12-05,1100205,Porto Velho,0
1943-12-12,1100205,Porto Velho,0
1943-12-19,1100205,Porto Velho,0
1943-12-26,1100205,Porto Velho,0
1944-01-02,1100205,Porto Velho,0
1944-01-09,1100205,Porto Velho,0
1944-01-16,1100205,Porto Velho,0
1944-01-23,1100205,Porto Velho,0
1944-01-30,1100205,Porto Velho,0
1944-02-06,1100205,Porto Velho,0
1944-02-13,1100205,Porto Velho,0
1944-02-20,1100205,Porto Velho,0
1944-02-27,1100205,Porto Velho,0
1944-03-05,1100205,Porto Velho,0
1944-03-12,1100205,Porto Velho,0
1944-03-19,1100205,Porto Velho,0
1944-03-26,1100205,Porto Velho,0
1944-04-02,1100205,Porto Velho,0
1944-04-09,1100205,Porto Velho,0
1944-04-16,1100205,Porto Velho,0
1944-04-23,1100205,Porto Velho,0
1944-04-30,1100205,Porto Velho,0
1944-05-07,1100205,Porto Velho,0
1944-05-14,1100205,Porto Velho,0
1944-05-21,1100205,Porto Velho,0
1944-05-28,1100205,Porto Velho,0
1944-06-04,1100205,Porto Velho,0
1944-06-11,1100205,Porto Velho,0
1944-06-18,1100205,Porto Velho,0
1944-06-25,1100205,Porto Velho,0
1944-07-02,1100205,Porto Velho,0
1944-07-09,1100205,Porto Velho,0
1944-07-16,1100205,Porto Velho,0
1944-07-23,1100205,Porto Velho,0
1944-07-30,1100205,Porto Velho,0
1944-08-06,1100205,Porto Velho,0
1944-08-13,1100205,Porto Velho,0
1944-08-20,1100205,Porto Velho,0
1944-08-27,1100205,Porto Velho,0
1944-09-03,1100205,Porto Velho,0
1944-09-10,1100205,Porto Velho,0
1944-09-17,1100205,Porto Velho,0
1944-09-24,1100205,Porto Velho,0
1944-10-01,1100205,Porto Velho,0
1944-10-08,1100205,Porto Velho,0
1944-10-15,1100205,Porto Velho,0
1944-10-22,1100205,Porto Velho,0
1944-10-29,1100205,Porto Velho,0
1944-11-05,1100205,Porto Velho,0
1944-11-12,1100205,Porto Velho,0
1944-11-19,1100205,Porto Velho,0
1944-11-26,1100205,Porto Velho,0
1944-12-03,1100205,Porto Velho,0
1944-12-10,1100205,Porto Velho,0
1944-12-17,1100205,Porto Velho,0
1944-12-24,1100205,Porto Velho,0
1944-12-31,1100205,Porto Velho,0
1945-01-07,1100205,Porto Velho,0
1945-01-14,1100205,Porto Velho,0
1945-01-21,1100205,Porto Velho,0
1945-01-28,1100205,Porto Velho,0
1945-02-04,1100205,Porto Velho,0
1945-02-11,1100205,Porto Velho,0
1945-02-18,1100205,Porto Velho,0
1945-02-25,1100205,Porto Velho,0
1945-03-04,1100205,Porto Velho,0
1945-03-11,1100205,Porto Velho,0
