,SE,MG,PA,RR,DF,MS,MT,PR,SC,CE,GO,PB,AP,AL,AM,RN,TO,RS,RO,PE,AC,RJ,BA,MA,SP,PI,ES
SE,0.0,1.62,2.02,5.45,1.66,2.7,2.71,2.58,2.86,1.11,1.86,0.62,1.97,0.28,4.67,0.79,1.64,3.3,4.17,0.5,3.43,1.84,0.32,1.55,2.18,1.11,1.36
MG,1.62,0.0,2.7,4.7,0.73,1.28,1.57,0.99,1.27,2.38,0.89,2.21,2.35,1.88,3.92,2.37,1.54,1.71,3.03,2.1,2.85,0.44,1.43,2.64,0.59,2.3,0.52
PA,2.02,2.7,0.0,3.84,1.98,2.83,2.51,3.19,3.57,1.5,1.98,2.07,0.33,2.1,3.06,1.95,1.22,4.01,2.57,2.03,2.4,3.13,2.05,0.58,2.9,0.91,3.19
RR,5.45,4.72,3.84,0.0,4.21,3.84,3.13,4.84,5.13,4.98,4.02,5.5,1.11,5.53,0.78,5.5,4.2,5.25,1.67,5.46,1.66,5.07,5.65,4.32,4.68,4.39,5.23
DF,1.66,0.73,1.98,4.19,0.0,1.05,1.06,1.39,1.67,2.12,0.2,2.25,1.8,1.92,3.41,2.41,0.82,2.11,2.52,2.14,2.31,1.16,1.46,2.03,1.0,1.68,1.25
MS,2.7,1.27,2.83,3.84,1.05,0.0,0.71,1.0,1.3,3.16,0.84,3.29,2.31,2.95,3.06,3.45,1.67,1.42,2.17,3.18,1.88,1.43,2.5,2.86,0.99,2.72,1.94
MT,2.72,1.59,2.52,3.13,1.09,0.71,0.0,1.71,2.01,3.18,0.9,3.31,1.82,2.98,2.35,3.47,1.51,2.13,1.46,3.2,1.48,1.94,2.53,2.7,1.55,2.55,2.1
PR,2.6,1.01,3.2,4.83,1.41,1.0,1.7,0.0,0.3,3.49,1.22,3.19,2.84,2.85,4.05,3.35,2.04,0.74,3.16,3.08,2.65,0.86,2.4,3.22,0.42,3.05,1.37
SC,2.88,1.29,3.56,5.13,1.69,1.3,2.0,0.31,0.0,3.77,1.58,3.47,3.08,3.14,4.35,3.63,2.4,0.46,3.46,3.36,2.86,1.14,2.68,3.59,0.7,3.34,1.65
CE,1.11,2.38,1.5,4.94,2.12,3.16,3.18,3.48,3.76,0.0,2.32,0.68,1.46,0.95,4.16,0.53,1.76,4.2,3.67,0.78,3.37,2.6,1.19,0.9,3.09,0.59,2.16
GO,1.85,0.89,1.98,4.02,0.2,0.84,0.89,1.21,1.58,2.32,0.0,2.45,1.87,2.11,3.24,2.6,0.82,2.02,2.35,2.33,2.2,1.3,1.66,2.01,0.91,1.88,1.41
PB,0.62,2.21,2.07,5.5,2.25,3.29,3.31,3.17,3.46,0.7,2.45,0.0,1.97,0.38,4.72,0.19,2.08,3.9,4.23,0.12,3.7,2.43,0.92,1.55,2.77,1.16,1.96
