,All cities,Lag (weeks),Range (weeks),MSE,MAE,MAPE
0,Yes,4,8,1077018.015211628,384.18520599941036,44.08308462650513
1,Yes,4,12,983583.8843055143,360.91999608165816,31.929230549853067
2,Yes,4,26,806697.1905067889,356.83356792521926,52.89189766801387
3,Yes,4,52,1399444.6244613226,467.79900863935364,45.87475794854428
4,Yes,12,8,3544548.3163654893,1000.0280447905918,229.5803651386205
5,Yes,12,12,3464327.7466336996,1001.5465545654297,247.73711509272025
6,Yes,12,26,2704623.325109425,923.2473026491562,242.0573601708844
7,Yes,12,52,4386488.831162825,858.1481431205318,82.771318568402
8,Yes,26,8,3054193.6420733933,787.4303150536879,181.59059003276306
9,Yes,26,12,3863623.494589878,871.9880065917969,169.7242561770821
10,Yes,26,26,4239880.249394722,833.7696661319372,86.94277221323921
11,Yes,26,52,4116501.810341843,813.5220630573776,84.01084415772517
12,Yes,52,8,3591699.486756328,833.4971192557857,216.11500833411017
13,Yes,52,12,3596238.3017926263,758.4987352479179,90.89264399883133
14,Yes,52,26,3030241.8970443695,765.1384654494951,133.02753369312074
15,Yes,52,52,4218606.3934456995,868.769379957667,128.32231112708493
