n_estimators,learning_rate,min_child_weight,max_depth,gamma,subsample,colsample_bytree,RMSE
500.0,0.3,1.0,3.0,0.0,1.0,0.75,94.85096786833239
500.0,0.3,1.0,4.0,0.0,1.0,0.75,134.5273999975242
500.0,0.3,1.0,5.0,0.0,1.0,0.75,118.62754161580868
500.0,0.3,1.0,6.0,0.0,1.0,0.75,125.75883990169947
500.0,0.3,1.0,7.0,0.0,1.0,0.75,122.66318932226062
500.0,0.3,1.0,9.0,0.0,1.0,0.75,125.26200215793455
500.0,0.3,1.0,11.0,0.0,1.0,0.75,130.60627873559284
500.0,0.3,3.0,3.0,0.0,1.0,0.75,130.02833407174168
500.0,0.3,3.0,4.0,0.0,1.0,0.75,118.37489638272419
500.0,0.3,3.0,5.0,0.0,1.0,0.75,128.9740074240982
500.0,0.3,3.0,6.0,0.0,1.0,0.75,129.58434846210926
500.0,0.3,3.0,7.0,0.0,1.0,0.75,120.56616597811835
500.0,0.3,3.0,9.0,0.0,1.0,0.75,100.81130773998477
500.0,0.3,3.0,11.0,0.0,1.0,0.75,133.50718329368908
500.0,0.3,4.0,3.0,0.0,1.0,0.75,98.82380221880004
500.0,0.3,4.0,4.0,0.0,1.0,0.75,129.03714838627832
500.0,0.3,4.0,5.0,0.0,1.0,0.75,101.3182995261082
500.0,0.3,4.0,6.0,0.0,1.0,0.75,119.25979284274685
500.0,0.3,4.0,7.0,0.0,1.0,0.75,137.6195532638064
500.0,0.3,4.0,9.0,0.0,1.0,0.75,106.8731959944892
500.0,0.3,4.0,11.0,0.0,1.0,0.75,113.09932251618206
500.0,0.3,5.0,3.0,0.0,1.0,0.75,81.00476641314872
500.0,0.3,5.0,4.0,0.0,1.0,0.75,119.58918263193671
500.0,0.3,5.0,5.0,0.0,1.0,0.75,77.38222470887106
500.0,0.3,5.0,6.0,0.0,1.0,0.75,104.32337546789054
500.0,0.3,5.0,7.0,0.0,1.0,0.75,115.69052671514945
500.0,0.3,5.0,9.0,0.0,1.0,0.75,116.05718892714258
500.0,0.3,5.0,11.0,0.0,1.0,0.75,120.00807266469852
500.0,0.3,6.0,3.0,0.0,1.0,0.75,97.29668814678786
500.0,0.3,6.0,4.0,0.0,1.0,0.75,125.66309013913693
500.0,0.3,6.0,5.0,0.0,1.0,0.75,143.35380112481354
500.0,0.3,6.0,6.0,0.0,1.0,0.75,155.95628617844548
500.0,0.3,6.0,7.0,0.0,1.0,0.75,199.0063454737267
500.0,0.3,6.0,9.0,0.0,1.0,0.75,193.91872723513558
500.0,0.3,6.0,11.0,0.0,1.0,0.75,194.9090843813945
500.0,0.3,7.0,3.0,0.0,1.0,0.75,108.43318669480854
500.0,0.3,7.0,4.0,0.0,1.0,0.75,80.2491613397758
500.0,0.3,7.0,5.0,0.0,1.0,0.75,141.3661319097818
500.0,0.3,7.0,6.0,0.0,1.0,0.75,128.32614130101294
500.0,0.3,7.0,7.0,0.0,1.0,0.75,116.61724028875611
500.0,0.3,7.0,9.0,0.0,1.0,0.75,118.63186183424662
500.0,0.3,7.0,11.0,0.0,1.0,0.75,130.8587400033807
500.0,0.3,10.0,3.0,0.0,1.0,0.75,197.96427527037207
500.0,0.3,10.0,4.0,0.0,1.0,0.75,205.45380980925574
500.0,0.3,10.0,5.0,0.0,1.0,0.75,160.6321943186793
500.0,0.3,10.0,6.0,0.0,1.0,0.75,156.1913639691648
500.0,0.3,10.0,7.0,0.0,1.0,0.75,161.14163641464637
500.0,0.3,10.0,9.0,0.0,1.0,0.75,147.75337118185445
500.0,0.3,10.0,11.0,0.0,1.0,0.75,136.68843646441084
500.0,0.3,15.0,3.0,0.0,1.0,0.75,181.2945672264958
500.0,0.3,15.0,4.0,0.0,1.0,0.75,203.00636316070458
500.0,0.3,15.0,5.0,0.0,1.0,0.75,168.31283949055108
500.0,0.3,15.0,6.0,0.0,1.0,0.75,201.08158473992296
500.0,0.3,15.0,7.0,0.0,1.0,0.75,195.52486016532254
500.0,0.3,15.0,9.0,0.0,1.0,0.75,149.45184249472192
500.0,0.3,15.0,11.0,0.0,1.0,0.75,154.93518903063995
