n_estimators,learning_rate,min_child_weight,max_depth,gamma,subsample,colsample_bytree,RMSE
500.0,0.3,5.0,5.0,0.0,0.1,0.1,124.73770918594397
500.0,0.3,5.0,5.0,0.0,0.1,0.25,187.83674135725047
500.0,0.3,5.0,5.0,0.0,0.1,0.5,225.8977415139948
500.0,0.3,5.0,5.0,0.0,0.1,0.75,243.8075905236788
500.0,0.3,5.0,5.0,0.0,0.1,1.0,242.1703159493908
500.0,0.3,5.0,5.0,0.0,0.25,0.1,242.14891896998702
500.0,0.3,5.0,5.0,0.0,0.25,0.25,142.6523574517077
500.0,0.3,5.0,5.0,0.0,0.25,0.5,212.62844696619328
500.0,0.3,5.0,5.0,0.0,0.25,0.75,149.49644411755295
500.0,0.3,5.0,5.0,0.0,0.25,1.0,120.01601976735051
500.0,0.3,5.0,5.0,0.0,0.5,0.1,270.00876016692564
500.0,0.3,5.0,5.0,0.0,0.5,0.25,152.2050166716379
500.0,0.3,5.0,5.0,0.0,0.5,0.5,214.48788891632054
500.0,0.3,5.0,5.0,0.0,0.5,0.75,91.63466308617207
500.0,0.3,5.0,5.0,0.0,0.5,1.0,119.9496488291267
500.0,0.3,5.0,5.0,0.0,0.75,0.1,105.89926063919805
500.0,0.3,5.0,5.0,0.0,0.75,0.25,166.7599518605685
500.0,0.3,5.0,5.0,0.0,0.75,0.5,246.77915892674957
500.0,0.3,5.0,5.0,0.0,0.75,0.75,197.28703375818242
500.0,0.3,5.0,5.0,0.0,0.75,1.0,108.85299165317957
500.0,0.3,5.0,5.0,0.0,1.0,0.1,109.10786076939536
500.0,0.3,5.0,5.0,0.0,1.0,0.25,85.9514856601945
500.0,0.3,5.0,5.0,0.0,1.0,0.5,105.7970514316481
500.0,0.3,5.0,5.0,0.0,1.0,0.75,77.38222470887106
500.0,0.3,5.0,5.0,0.0,1.0,1.0,60.70746327136675
